filename,time_sec,peak_mem_kb,result
uf20-0230.cnf,0.0086,0,SAT
uf20-0231.cnf,0.0096,0,SAT
uf20-0232.cnf,0.0057,0,SAT
uf20-0233.cnf,0.0022,0,SAT
uf20-0234.cnf,0.0009,0,SAT
uf20-0235.cnf,0.0014,0,SAT
uf20-0236.cnf,0.0044,0,SAT
uf20-0237.cnf,0.0005,0,SAT
uf20-0238.cnf,0.0003,0,SAT
uf20-0239.cnf,0.0083,0,SAT
uf20-024.cnf,0.0430,0,SAT
uf20-0240.cnf,0.0236,0,SAT
uf20-0241.cnf,0.0006,0,SAT
uf20-0242.cnf,0.0043,0,SAT
uf20-0243.cnf,0.0013,0,SAT
uf20-0244.cnf,0.0008,0,SAT
uf20-0245.cnf,0.0230,0,SAT
uf20-0246.cnf,0.0019,0,SAT
uf20-0247.cnf,0.0132,0,SAT
uf20-0248.cnf,0.0059,0,SAT
uf20-0249.cnf,0.0012,0,SAT
uf20-025.cnf,0.0325,0,SAT
uf20-0250.cnf,0.0005,0,SAT
uf20-0251.cnf,0.0061,0,SAT
uf20-0252.cnf,0.0143,0,SAT
uf20-0253.cnf,0.0010,0,SAT
uf20-0254.cnf,0.0028,0,SAT
uf20-0255.cnf,0.0081,0,SAT
uf20-0256.cnf,0.0009,0,SAT
uf20-0257.cnf,0.0015,0,SAT
uf20-0258.cnf,0.0019,0,SAT
uf20-0259.cnf,0.0012,0,SAT
uf20-026.cnf,0.0044,0,SAT
uf20-0260.cnf,0.0006,0,SAT
uf20-0261.cnf,0.0432,0,SAT
uf20-0262.cnf,0.0115,0,SAT
uf20-0263.cnf,0.0049,0,SAT
uf20-0264.cnf,0.0431,0,SAT
uf20-0265.cnf,0.0008,0,SAT
uf20-0266.cnf,0.0040,0,SAT
uf20-0267.cnf,0.0100,0,SAT
uf20-0268.cnf,0.0014,0,SAT
uf20-0269.cnf,0.0018,0,SAT
uf20-027.cnf,0.0038,0,SAT
uf20-0270.cnf,0.0222,0,SAT
uf20-0271.cnf,0.0012,0,SAT
uf20-0272.cnf,0.0010,0,SAT
uf20-0273.cnf,0.0052,0,SAT
uf20-0274.cnf,0.0026,0,SAT
uf20-0275.cnf,0.0011,0,SAT
uf20-0276.cnf,0.0017,0,SAT
uf20-0277.cnf,0.0007,0,SAT
uf20-0278.cnf,0.0817,0,SAT
uf20-0279.cnf,0.0039,0,SAT
uf20-028.cnf,0.0107,0,SAT
uf20-0280.cnf,0.0033,0,SAT
uf20-0281.cnf,0.0005,0,SAT
uf20-0282.cnf,0.0094,0,SAT
uf20-0283.cnf,0.0036,0,SAT
uf20-0284.cnf,0.0052,0,SAT
uf20-0285.cnf,0.0170,0,SAT
uf20-0286.cnf,0.0031,0,SAT
uf20-0287.cnf,0.0167,0,SAT
uf20-0288.cnf,0.0834,0,SAT
uf20-0289.cnf,0.0038,0,SAT
uf20-029.cnf,0.0431,0,SAT
uf20-0290.cnf,0.0027,0,SAT
uf20-0291.cnf,0.0208,0,SAT
uf20-0292.cnf,0.0122,0,SAT
uf20-0293.cnf,0.0018,0,SAT
uf20-0294.cnf,0.0055,0,SAT
uf20-0295.cnf,0.0024,0,SAT
uf20-0296.cnf,0.0017,0,SAT
uf20-0297.cnf,0.0017,0,SAT
uf20-0298.cnf,0.0058,0,SAT
uf20-0299.cnf,0.0033,0,SAT
uf20-030.cnf,0.0042,0,SAT
uf20-0300.cnf,0.0331,0,SAT
uf20-0301.cnf,0.0045,0,SAT
uf20-0302.cnf,0.0014,0,SAT
uf20-0303.cnf,0.0019,0,SAT
uf20-0304.cnf,0.0038,0,SAT
uf20-0305.cnf,0.0118,0,SAT
uf20-0306.cnf,0.0009,0,SAT
uf20-0307.cnf,0.0011,0,SAT
uf20-0308.cnf,0.0026,0,SAT
uf20-0309.cnf,0.0032,0,SAT
