filename,time_sec,peak_mem_kb,result
uf20-0230.cnf,0.0032,144,SAT
uf20-0231.cnf,10.0666,216,SAT
uf20-0232.cnf,1.2034,188,SAT
uf20-0233.cnf,0.0566,155,SAT
uf20-0234.cnf,0.4368,192,SAT
uf20-0235.cnf,0.9511,189,SAT
uf20-0236.cnf,0.8364,185,SAT
uf20-0237.cnf,1.6383,187,SAT
uf20-0238.cnf,11.4647,221,SAT
uf20-0239.cnf,6.0763,205,SAT
uf20-024.cnf,2.9830,206,SAT
uf20-0240.cnf,10.6774,226,SAT
uf20-0241.cnf,4.3908,215,SAT
uf20-0242.cnf,4.8009,211,SAT
uf20-0243.cnf,0.5666,166,SAT
uf20-0244.cnf,3.7958,205,SAT
uf20-0245.cnf,7.2899,221,SAT
uf20-0246.cnf,3.1954,209,SAT
uf20-0247.cnf,10.4465,210,SAT
uf20-0248.cnf,10.9451,231,SAT
uf20-0249.cnf,0.0166,166,SAT
uf20-025.cnf,0.3158,163,SAT
uf20-0250.cnf,0.5945,171,SAT
uf20-0251.cnf,7.1530,207,SAT
uf20-0252.cnf,0.3333,185,SAT
uf20-0253.cnf,15.4063,221,SAT
uf20-0254.cnf,12.0999,219,SAT
uf20-0255.cnf,5.7244,216,SAT
uf20-0256.cnf,5.7606,215,SAT
uf20-0257.cnf,12.8866,227,SAT
uf20-0258.cnf,8.6663,211,SAT
uf20-0259.cnf,10.5109,223,SAT
uf20-026.cnf,6.7347,211,SAT
uf20-0260.cnf,10.9037,223,SAT
uf20-0261.cnf,4.9220,199,SAT
uf20-0262.cnf,9.4560,218,SAT
uf20-0263.cnf,2.2990,212,SAT
uf20-0264.cnf,0.2891,190,SAT
uf20-0265.cnf,0.0827,146,SAT
uf20-0266.cnf,4.3255,207,SAT
uf20-0267.cnf,0.7362,183,SAT
uf20-0268.cnf,6.6037,224,SAT
uf20-0269.cnf,2.0170,237,SAT
uf20-027.cnf,2.0972,193,SAT
uf20-0270.cnf,2.5690,209,SAT
uf20-0271.cnf,0.0625,178,SAT
uf20-0272.cnf,4.0332,211,SAT
uf20-0273.cnf,3.4341,200,SAT
uf20-0274.cnf,4.0991,204,SAT
uf20-0275.cnf,0.1057,174,SAT
uf20-0276.cnf,6.0145,213,SAT
uf20-0277.cnf,1.2626,189,SAT
uf20-0278.cnf,4.1720,198,SAT
uf20-0279.cnf,3.5692,209,SAT
uf20-028.cnf,0.4622,183,SAT
uf20-0280.cnf,3.6172,206,SAT
uf20-0281.cnf,0.3471,178,SAT
uf20-0282.cnf,6.6444,200,SAT
uf20-0283.cnf,0.9553,197,SAT
uf20-0284.cnf,3.4251,202,SAT
uf20-0285.cnf,6.0022,199,SAT
uf20-0286.cnf,1.6092,216,SAT
uf20-0287.cnf,3.2062,208,SAT
uf20-0288.cnf,9.9939,220,SAT
uf20-0289.cnf,0.2844,176,SAT
uf20-029.cnf,15.0739,222,SAT
uf20-0290.cnf,3.7962,217,SAT
uf20-0291.cnf,0.1083,176,SAT
uf20-0292.cnf,3.8806,195,SAT
uf20-0293.cnf,0.0354,166,SAT
uf20-0294.cnf,9.7509,223,SAT
uf20-0295.cnf,1.6871,210,SAT
uf20-0296.cnf,0.0560,173,SAT
uf20-0297.cnf,2.5589,206,SAT
uf20-0298.cnf,4.8598,209,SAT
uf20-0299.cnf,2.2596,216,SAT
uf20-030.cnf,3.8340,182,SAT
uf20-0300.cnf,0.5245,184,SAT
uf20-0301.cnf,14.5484,219,SAT
uf20-0302.cnf,15.0521,219,SAT
uf20-0303.cnf,1.0710,199,SAT
uf20-0304.cnf,0.1303,170,SAT
uf20-0305.cnf,6.0707,204,SAT
uf20-0306.cnf,10.7562,218,SAT
uf20-0307.cnf,8.2507,213,SAT
uf20-0308.cnf,5.5137,196,SAT
uf20-0309.cnf,4.9114,210,SAT
uf20-031.cnf,4.7452,208,SAT
uf20-0310.cnf,7.3749,210,SAT
uf20-0311.cnf,0.0015,102,SAT
uf20-0312.cnf,0.7071,195,SAT
uf20-0313.cnf,2.2236,202,SAT
uf20-0314.cnf,2.0648,201,SAT
uf20-0315.cnf,2.9958,209,SAT
uf20-0316.cnf,1.1293,179,SAT
uf20-0317.cnf,5.2761,209,SAT
uf20-0318.cnf,0.4518,188,SAT
uf20-0319.cnf,0.0920,168,SAT
uf20-032.cnf,6.0549,210,SAT
uf20-0320.cnf,8.4652,210,SAT
uf20-0321.cnf,1.2582,179,SAT
uf20-0322.cnf,1.8187,188,SAT
uf20-0323.cnf,1.1575,197,SAT
uf20-0324.cnf,1.5275,188,SAT
uf20-0325.cnf,5.6453,212,SAT
uf20-0326.cnf,0.0563,168,SAT
uf20-0327.cnf,1.9533,219,SAT
uf20-0328.cnf,13.3726,214,SAT
uf20-0329.cnf,9.2146,218,SAT
uf20-033.cnf,10.1786,212,SAT
uf20-0330.cnf,1.4315,204,SAT
uf20-0331.cnf,13.1164,215,SAT
uf20-0332.cnf,1.2066,197,SAT
uf20-0333.cnf,5.1455,203,SAT
uf20-0334.cnf,0.0021,148,SAT
uf20-0335.cnf,0.3378,168,SAT
uf20-0336.cnf,0.5584,187,SAT
uf20-0337.cnf,6.4807,215,SAT
uf20-0338.cnf,4.3209,218,SAT
uf20-0339.cnf,0.0176,167,SAT
uf20-034.cnf,0.8390,197,SAT
uf20-0340.cnf,0.1031,185,SAT
uf20-0341.cnf,0.3098,156,SAT
uf20-0342.cnf,9.2508,203,SAT
uf20-0343.cnf,3.8602,205,SAT
uf20-0344.cnf,6.4631,207,SAT
uf20-0345.cnf,0.1369,158,SAT
uf20-0346.cnf,3.9896,213,SAT
uf20-0347.cnf,11.1286,214,SAT
uf20-0348.cnf,0.2014,162,SAT
uf20-0349.cnf,9.4540,219,SAT
uf20-035.cnf,0.8655,206,SAT
uf20-0350.cnf,4.6927,205,SAT
uf20-0351.cnf,14.9540,214,SAT
uf20-0352.cnf,9.0188,206,SAT
uf20-0353.cnf,5.2215,215,SAT
uf20-0354.cnf,8.2139,205,SAT
uf20-0355.cnf,0.0017,99,SAT
uf20-0356.cnf,7.0003,199,SAT
uf20-0357.cnf,4.3317,213,SAT
uf20-0358.cnf,3.9145,205,SAT
uf20-0359.cnf,11.5808,223,SAT
uf20-036.cnf,1.6203,190,SAT
uf20-0360.cnf,0.0423,172,SAT
uf20-0361.cnf,1.4150,201,SAT
uf20-0362.cnf,2.5316,199,SAT
uf20-0363.cnf,10.3431,219,SAT
uf20-0364.cnf,3.3332,198,SAT
uf20-0365.cnf,6.8202,238,SAT
uf20-0366.cnf,2.7563,197,SAT
uf20-0367.cnf,12.1473,223,SAT
uf20-0368.cnf,2.3304,200,SAT
uf20-0369.cnf,7.9977,208,SAT
uf20-037.cnf,2.5579,206,SAT
uf20-0370.cnf,0.1811,170,SAT
uf20-0371.cnf,6.1958,206,SAT
uf20-0372.cnf,0.0025,126,SAT
uf20-0373.cnf,7.9621,219,SAT
uf20-0374.cnf,10.1213,208,SAT
uf20-0375.cnf,2.9761,212,SAT
